total,point_in_time,tweets,indicators,other
280,2026-02-18T00:00:00+00:00,0,85,195
231,2026-02-18T01:00:00+00:00,0,61,170
118,2026-02-18T02:00:00+00:00,0,17,101
80,2026-02-18T03:00:00+00:00,0,19,61
140,2026-02-18T04:00:00+00:00,0,44,96
282,2026-02-18T05:00:00+00:00,0,75,207
461,2026-02-18T06:00:00+00:00,0,128,333
715,2026-02-18T07:00:00+00:00,0,178,537
1103,2026-02-18T08:00:00+00:00,0,285,818
1207,2026-02-18T09:00:00+00:00,0,308,899
1320,2026-02-18T10:00:00+00:00,0,354,966
1423,2026-02-18T11:00:00+00:00,0,415,1008
1077,2026-02-18T12:00:00+00:00,0,314,763
1209,2026-02-18T13:00:00+00:00,0,349,860
1111,2026-02-18T14:00:00+00:00,0,317,794
1002,2026-02-18T15:00:00+00:00,0,275,727
1235,2026-02-18T16:00:00+00:00,0,361,874
1183,2026-02-18T17:00:00+00:00,0,311,872
1272,2026-02-18T18:00:00+00:00,0,353,919
1350,2026-02-18T19:00:00+00:00,0,386,964
1129,2026-02-18T20:00:00+00:00,0,328,801
829,2026-02-18T21:00:00+00:00,0,245,584
494,2026-02-18T22:00:00+00:00,0,133,361
283,2026-02-18T23:00:00+00:00,0,72,211
252,2026-02-19T00:00:00+00:00,0,74,178
138,2026-02-19T01:00:00+00:00,0,40,98
64,2026-02-19T02:00:00+00:00,0,13,51
85,2026-02-19T03:00:00+00:00,0,17,68
128,2026-02-19T04:00:00+00:00,0,37,91
246,2026-02-19T05:00:00+00:00,0,72,174
411,2026-02-19T06:00:00+00:00,0,112,299
677,2026-02-19T07:00:00+00:00,0,189,488
884,2026-02-19T08:00:00+00:00,0,225,659
1045,2026-02-19T09:00:00+00:00,0,274,771
1129,2026-02-19T10:00:00+00:00,0,297,832
1166,2026-02-19T11:00:00+00:00,0,308,858
1391,2026-02-19T12:00:00+00:00,0,425,966
1408,2026-02-19T13:00:00+00:00,0,398,1010
1407,2026-02-19T14:00:00+00:00,0,366,1041
1407,2026-02-19T15:00:00+00:00,0,424,983
1280,2026-02-19T16:00:00+00:00,0,365,915
1207,2026-02-19T17:00:00+00:00,0,356,851
1235,2026-02-19T18:00:00+00:00,0,339,896
1109,2026-02-19T19:00:00+00:00,0,316,793
919,2026-02-19T20:00:00+00:00,0,247,672
733,2026-02-19T21:00:00+00:00,0,179,554
499,2026-02-19T22:00:00+00:00,0,144,355
304,2026-02-19T23:00:00+00:00,0,86,218
172,2026-02-20T00:00:00+00:00,0,49,123
75,2026-02-20T01:00:00+00:00,0,16,59
85,2026-02-20T02:00:00+00:00,0,23,62
82,2026-02-20T03:00:00+00:00,0,21,61
113,2026-02-20T04:00:00+00:00,0,25,88
247,2026-02-20T05:00:00+00:00,0,60,187
412,2026-02-20T06:00:00+00:00,0,99,313
565,2026-02-20T07:00:00+00:00,0,148,417
855,2026-02-20T08:00:00+00:00,0,197,658
844,2026-02-20T09:00:00+00:00,0,213,631
961,2026-02-20T10:00:00+00:00,0,241,720
874,2026-02-20T11:00:00+00:00,0,233,641
