provider,company_id,created_at,device,indicator_id,affected_service,latitude,longitude,city_id,country_id,source,asn,provider_id,zip,city,state
t-mobile,20097,2026-02-20T00:01:38+00:00,mobile,981,5G Home Internet,25.95,-80.22,4164138.0,89,ip,21928.0,16.0,33169,Miami,FL
t-mobile,20097,2026-02-20T00:01:41+00:00,mobile,8,Mobile Internet,40.03,-82.91,4509177.0,89,ip,21928.0,16.0,43219,Columbus,OH
t-mobile,20097,2026-02-20T00:04:07+00:00,desktop,14,No Signal,33.14,-97.06,5113723.0,89,device,20115.0,38177.0,76210,Denton,TX
t-mobile,20097,2026-02-20T00:04:08+00:00,mobile,8,Mobile Internet,42.37,-71.23,4954380.0,89,ip,7922.0,3.0,2453,Waltham,MA
t-mobile,20097,2026-02-20T00:05:23+00:00,mobile,14,No Signal,41.88,-88.13,4916288.0,89,device,21928.0,119149.0,60187,Wheaton,IL
t-mobile,20097,2026-02-20T00:05:26+00:00,mobile,981,5G Home Internet,44.96,-93.26,5037649.0,89,ip,21928.0,119149.0,55404,Minneapolis,MN
t-mobile,20097,2026-02-20T00:06:16+00:00,mobile,981,5G Home Internet,33.52,-101.96,5525577.0,89,device,19108.0,83813.0,79424,Lubbock,TX
t-mobile,20097,2026-02-20T00:06:19+00:00,mobile,981,5G Home Internet,29.99,-94.02,4713932.0,89,device,21928.0,16.0,77627,Nederland,TX
t-mobile,20097,2026-02-20T00:06:22+00:00,mobile,981,5G Home Internet,32.62,-97.15,4671240.0,89,ip,21928.0,119149.0,76001,Arlington,TX
t-mobile,20097,2026-02-20T00:06:22+00:00,mobile,9,Mobile Phone,40.75,-73.67,5128514.0,89,device,6128.0,34.0,11040,New Hyde Park,NY
t-mobile,20097,2026-02-20T00:06:31+00:00,mobile,8,Mobile Internet,34.1,-84.54,4231874.0,89,device,13335.0,118997.0,30189,Woodstock,GA
t-mobile,20097,2026-02-20T00:07:45+00:00,mobile,981,5G Home Internet,29.85,-90.1,4332628.0,89,device,22773.0,60698.0,70072,Marrero,LA
t-mobile,20097,2026-02-20T00:07:56+00:00,mobile,8,Mobile Internet,32.72,-97.47,4691930.0,89,device,54113.0,118997.0,76116,Fort Worth,TX
